qlps,hkpa,hm,qlmin,name
0,104.4565217,12.64603738,0,Zulzer
2.337694943,99.56521739,12.05387122,140.2616966,VMOA
4.871071597,95,11.50118281,292.2642958,100
7.404005198,90.76086957,10.98797213,444.2403119,1170
9.85541706,86.52173913,10.47476146,591.3250236,160
12.30815808,81.30434783,9.843117551,738.4894848,
14.84330695,75.43478261,9.132518155,890.598417,
17.29826323,68.58695652,8.303485527,1037.895794,
19.91847826,60.10869565,7.277064178,1195.108696,
22.37919423,49.02173913,5.934820876,1342.751654,
24.84035326,37.60869565,4.553099829,1490.421196,
