qmh,hm,qlmin,name,nqmh,nhm,nqlmin
0,9.243243243,0,KSB,1.806752874,0.916666667,30.11254789
0.984375,9.216216216,16.40625,Etabloc,1.979166667,0.916666667,32.98611111
1.984375,9.162162162,33.07291667,50,2.996408046,0.916666667,49.9401341
2.984375,9.027027027,49.73958333,1160,3.478807471,0.958333333,57.98012452
4.015625,8.783783784,66.92708333,210,3.995510057,1.020833333,66.59183429
4.984375,8.216216216,83.07291667,,4.97808908,1.041666667,82.96815134
5.984375,7.324324324,99.73958333,,5.977191092,1.145833333,99.61985153
7,6.297297297,116.6666667,,6.253053161,1.145833333,104.2175527
7.203125,6.054054054,120.0520833,,6.390445402,1.208333333,106.5074234
,,,,6.475395115,1.354166667,107.9232519
,,,,6.576688218,1.604166667,109.6114703
,,,,6.626975575,1.770833333,110.4495929
